id;geschlecht;jhi_alter;koerperfettanteil;datumund_zeit
1;Borders;79401;80046;2023-11-06T05:05:09
2;Boliviano Loan;39828;44519;2023-11-06T14:10:00
3;Tonga Frozen;93416;63506;2023-11-06T08:21:28
4;e-business Ball;43;65141;2023-11-05T20:27:54
5;Architect Metal software;68679;21097;2023-11-06T15:07:02
6;Cambridgeshire;37873;71119;2023-11-06T14:20:46
7;discrete;99804;43205;2023-11-06T17:11:49
8;Niedersachsen;50095;14339;2023-11-05T22:50:05
9;indexing;66989;2190;2023-11-06T00:10:19
10;Agent Rustic navigating;76493;6859;2023-11-06T08:05:48
